"t / s","CH1 / V"
0.000127,-0.282828
0.0001275,-0.282828
0.000128,-0.282828
0.0001285,-0.282828
0.000129,-0.282828
0.0001295,-0.323232
0.00013,-0.242424
0.0001305,-0.242424
0.000131,-0.282828
0.0001315,-0.323232
0.000132,-0.282828
0.0001325,-0.282828
0.000133,-0.323232
0.0001335,-0.323232
0.000134,-0.242424
0.0001345,-0.323232
0.000135,-0.242424
0.0001355,-0.323232
0.000136,-0.323232
0.0001365,-0.323232
0.000137,-0.363636
0.0001375,-0.323232
0.000138,-0.363636
0.0001385,-0.242424
0.000139,-0.363636
0.0001395,-0.282828
0.00014,-0.282828
0.0001405,-0.323232
0.000141,-0.363636
0.0001415,-0.242424
0.000142,-0.323232
0.0001425,-0.323232
0.000143,-0.20202
0.0001435,-0.20202
0.000144,-0.282828
0.0001445,-0.323232
0.000145,-0.323232
0.0001455,-0.282828
0.000146,-0.363636
0.0001465,-0.40404
0.000147,-0.282828
0.0001475,-0.323232
0.000148,-0.323232
0.0001485,-0.282828
0.000149,-0.282828
0.0001495,-0.282828
0.00015,-0.363636
0.0001505,-0.242424
0.000151,-0.282828
0.0001515,-0.242424
0.000152,-0.242424
0.0001525,-0.363636
0.000153,-0.363636
0.0001535,-0.323232
0.000154,-0.282828
0.0001545,-0.282828
0.000155,-0.282828
0.0001555,-0.282828
0.000156,-0.323232
0.0001565,-0.282828
0.000157,-0.282828
0.0001575,-0.242424
0.000158,-0.363636
0.0001585,-0.363636
0.000159,-0.323232
0.0001595,-0.242424
0.00016,-0.363636
0.0001605,-0.282828
0.000161,-0.282828
0.0001615,-0.242424
0.000162,-0.323232
0.0001625,-0.323232
0.000163,-0.363636
0.0001635,-0.282828
0.000164,-0.323232
0.0001645,-0.363636
0.000165,-0.363636
0.0001655,-0.323232
0.000166,-0.242424
0.0001665,-0.282828
0.000167,-0.282828
0.0001675,-0.282828
0.000168,-0.323232
0.0001685,-0.363636
0.000169,-0.363636
0.0001695,-0.363636
0.00017,-0.282828
0.0001705,-0.363636
0.000171,-0.323232
0.0001715,-0.323232
0.000172,-0.282828
0.0001725,-0.242424
0.000173,-0.282828
0.0001735,-0.323232
0.000174,-0.242424
0.0001745,-0.323232
0.000175,-0.323232
0.0001755,-0.363636
0.000176,-0.363636
0.0001765,-0.282828
0.000177,-0.323232
0.0001775,-0.242424
0.000178,-0.323232
0.0001785,-0.363636
0.000179,-0.323232
0.0001795,-0.323232
0.00018,-0.323232
0.0001805,-0.363636
0.000181,-0.282828
0.0001815,-0.282828
0.000182,-0.323232
0.0001825,-0.282828
0.000183,-0.323232
0.0001835,-0.323232
0.000184,-0.363636
0.0001845,-0.242424
0.000185,-0.323232
0.0001855,-0.282828
0.000186,-0.282828
0.0001865,-0.323232
